Date,Time,Alt(m),VSpd(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-02-13,14:24:16.620,14.9,4.4,-54,0,100,12,0,7,500,-41,100,13,31.984557 120.309424,54.9,243.10,11,18,16.4,8.2,16,75,0.31,-0.10,-1.21,"AIR",-21,2,-284,-10,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1481,1497,1356,1498,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:17.120,17.1,5.3,-54,0,100,12,0,7,500,-47,100,10,31.984518 120.309335,58.6,242.30,13,19,16.3,8.0,17,74,0.30,-0.12,-1.36,"AIR",-42,11,-360,18,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1495,1501,1318,1487,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:17.620,19.9,4.2,-54,0,100,12,0,7,500,-43,100,12,31.984483 120.309257,60.5,242.60,17,19,16.4,6.9,18,75,0.31,-0.12,-1.47,"AIR",-17,-7,-398,18,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1495,1493,1299,1500,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:18.120,21.8,3.5,-57,0,100,12,0,7,500,-46,100,11,31.984448 120.309178,60.5,242.40,18,19,16.4,5.8,19,76,0.31,-0.11,-1.57,"AIR",-19,8,-345,25,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1499,1500,1326,1499,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:18.620,24.1,4.4,-58,0,100,12,0,7,500,-49,100,13,31.984413 120.309100,60.3,242.00,21,19,16.4,6.5,20,75,0.30,-0.12,-1.65,"AIR",-38,16,-399,23,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1498,1504,1299,1489,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:19.120,24.1,3.6,-58,0,100,12,0,7,500,-51,96,13,31.984377 120.309021,60.4,242.00,23,19,16.4,6.1,21,75,0.31,-0.10,-1.73,"AIR",-28,5,-398,27,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1499,1299,1494,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:19.620,26.2,3.6,-60,0,100,12,0,7,500,-51,96,12,31.984334 120.308928,60.2,241.60,25,20,16.4,5.8,22,76,0.32,-0.10,-1.81,"AIR",-281,-50,-494,-220,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1376,1471,1251,1368,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:20.120,28.5,4.0,-63,0,100,12,0,7,500,-61,96,10,31.984299 120.308851,59.3,241.20,27,20,16.4,4.1,23,77,0.43,-0.22,-2.69,"AIR",-337,-77,-511,-180,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1396,1458,1243,1340,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:20.620,34.5,9.9,-72,0,100,11,0,7,500,-65,100,10,31.984246 120.308753,52.4,233.20,33,20,16.4,4.1,23,77,0.43,-0.22,-2.69,"AIR",-243,12,-549,-110,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1431,1502,1224,1387,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:21.120,33.9,-1.7,-72,0,100,11,0,7,500,-62,88,11,31.984246 120.308753,52.4,233.20,33,20,16.5,5.1,23,77,0.52,-0.27,2.90,"AIR",-180,5,-521,-81,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1446,1499,1238,1418,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
